time,CWND,speed,forecast
00:37:13,427,0,0
00:37:13,10,0,0
00:37:13,10,0,0
00:37:13,11,0,0
00:37:13,12,0,0
00:37:13,13,0,0
00:37:13,14,0,0
00:37:13,15,0,0
00:37:13,16,0,0
00:37:13,17,0,0
00:37:13,18,0,0
00:37:13,19,0,0
00:37:13,20,0,0
00:37:13,21,0,0
00:37:13,22,0,0
00:37:13,23,0,0
00:37:13,24,0,0
00:37:13,25,0,0
00:37:13,27,0,0
00:37:13,29,0,0
00:37:13,31,0,0
00:37:13,32,0,0
00:37:13,33,0,0
00:37:13,34,0,0
00:37:13,35,0,0
00:37:13,36,0,0
00:37:13,37,0,0
00:37:13,38,0,0
00:37:13,39,0,0
00:37:13,40,0,0
00:37:13,41,0,0
00:37:13,42,0,0
00:37:13,43,0,0
00:37:13,44,0,0
00:37:13,45,0,0
00:37:13,46,0,0
00:37:13,47,0,0
00:37:13,48,0,0
00:37:13,49,0,0
00:37:13,50,0,0
00:37:13,51,0,0
00:37:13,52,0,0
00:37:13,53,0,0
00:37:13,54,0,0
00:37:13,55,0,0
00:37:13,56,0,0
00:37:13,57,0,0
00:37:13,58,0,0
00:37:13,59,0,0
00:37:13,60,0,0
00:37:13,61,0,0
00:37:13,62,0,0
00:37:13,63,0,0
00:37:13,64,0,0
00:37:13,65,0,0
00:37:13,66,0,0
00:37:13,67,0,0
00:37:13,68,0,0
00:37:13,69,0,0
00:37:13,70,0,0
00:37:13,71,0,0
00:37:13,72,0,0
00:37:13,73,0,0
00:37:13,74,0,0
00:37:13,75,0,0
00:37:13,76,0,0
00:37:13,77,0,0
00:37:13,78,0,0
00:37:13,79,0,0
00:37:13,80,0,0
00:37:13,81,0,0
00:37:13,82,0,0
00:37:13,83,0,0
00:37:13,84,0,0
00:37:13,85,0,0
00:37:13,86,0,0
00:37:13,87,0,0
00:37:13,88,0,0
00:37:13,89,0,0
00:37:13,90,0,0
00:37:13,91,0,0
00:37:13,92,0,0
00:37:13,93,0,0
00:37:13,94,0,0
00:37:13,96,0,0
00:37:13,98,0,0
00:37:13,99,0,0
00:37:13,100,0,0
00:37:13,101,0,0
00:37:13,102,0,0
00:37:13,103,0,0
00:37:13,104,0,0
00:37:13,105,0,0
00:37:13,106,0,0
00:37:13,107,0,0
00:37:13,108,0,0
00:37:13,109,0,0
00:37:13,110,0,0
00:37:13,111,0,0
00:37:13,112,0,0
00:37:13,113,0,0
00:37:13,114,0,0
00:37:13,115,0,0
00:37:13,116,0,0
00:37:13,117,0,0
00:37:13,118,0,0
00:37:13,119,0,0
00:37:13,120,0,0
00:37:13,121,0,0
00:37:13,122,0,0
00:37:13,123,0,0
00:37:13,124,0,0
00:37:13,125,0,0
00:37:13,126,0,0
00:37:13,127,0,0
00:37:13,128,0,0
00:37:13,129,0,0
00:37:13,130,0,0
00:37:13,131,0,0
00:37:13,132,0,0
00:37:13,133,0,0
00:37:13,134,0,0
00:37:13,135,0,0
00:37:13,137,0,0
00:37:13,139,0,0
00:37:13,141,0,0
00:37:13,143,0,0
00:37:13,145,0,0
00:37:13,147,0,0
00:37:13,149,0,0
00:37:13,151,0,0
00:37:13,153,0,0
00:37:13,155,0,0
00:37:13,157,0,0
00:37:13,159,0,0
00:37:13,161,0,0
00:37:13,163,0,0
00:37:13,165,0,0
00:37:13,167,0,0
00:37:13,169,0,0
00:37:13,171,0,0
00:37:13,173,0,0
00:37:13,175,0,0
00:37:13,176,0,0
00:37:13,177,0,0
00:37:13,178,0,0
00:37:13,179,0,0
00:37:13,180,0,0
00:37:13,181,0,0
00:37:13,182,0,0
00:37:13,183,0,0
00:37:13,184,0,0
00:37:13,185,0,0
00:37:13,186,0,0
00:37:13,187,0,0
00:37:13,188,0,0
00:37:13,189,0,0
00:37:13,190,0,0
00:37:13,191,0,0
00:37:13,192,0,0
00:37:13,193,0,0
00:37:13,194,0,0
00:37:13,195,0,0
00:37:13,196,0,0
