time,CWND,speed,forecast
23:11:35,981,0,0
23:11:35,10,0,0
23:11:35,10,0,0
23:11:35,11,0,0
23:11:35,12,0,0
23:11:35,13,0,0
23:11:35,14,0,0
23:11:35,15,0,0
23:11:35,16,0,0
23:11:35,17,0,0
23:11:35,18,0,0
23:11:35,19,0,0
23:11:35,20,0,0
23:11:35,21,0,0
23:11:35,22,0,0
23:11:35,23,0,0
23:11:35,24,0,0
23:11:35,25,0,0
23:11:35,27,0,0
23:11:35,29,0,0
23:11:35,31,0,0
23:11:35,33,0,0
23:11:35,35,0,0
23:11:35,37,0,0
23:11:35,38,0,0
23:11:35,39,0,0
23:11:35,40,0,0
23:11:35,41,0,0
23:11:35,42,0,0
23:11:35,43,0,0
23:11:35,44,0,0
23:11:35,45,0,0
23:11:35,46,0,0
23:11:35,47,0,0
23:11:35,48,0,0
23:11:35,49,0,0
23:11:35,50,0,0
23:11:35,51,0,0
23:11:35,52,0,0
23:11:35,53,0,0
23:11:35,54,0,0
23:11:35,55,0,0
23:11:35,56,0,0
23:11:35,57,0,0
23:11:35,58,0,0
23:11:35,59,0,0
23:11:35,60,0,0
23:11:35,61,0,0
23:11:35,62,0,0
23:11:35,63,0,0
23:11:35,64,0,0
23:11:35,65,0,0
23:11:35,66,0,0
23:11:35,67,0,0
23:11:35,68,0,0
23:11:35,69,0,0
23:11:35,70,0,0
23:11:35,71,0,0
23:11:35,72,0,0
23:11:35,73,0,0
23:11:35,74,0,0
23:11:35,75,0,0
23:11:35,76,0,0
23:11:35,77,0,0
23:11:35,78,0,0
23:11:35,79,0,0
23:11:35,80,0,0
23:11:35,81,0,0
23:11:35,82,0,0
23:11:35,83,0,0
23:11:35,84,0,0
23:11:35,85,0,0
23:11:35,86,0,0
23:11:35,87,0,0
23:11:35,88,0,0
23:11:35,89,0,0
23:11:35,90,0,0
23:11:35,91,0,0
23:11:35,92,0,0
23:11:35,93,0,0
23:11:35,94,0,0
23:11:35,95,0,0
23:11:35,96,0,0
23:11:35,97,0,0
23:11:35,98,0,0
23:11:35,99,0,0
23:11:35,100,0,0
23:11:35,101,0,0
23:11:35,102,0,0
23:11:35,103,0,0
23:11:35,104,0,0
23:11:35,105,0,0
23:11:35,106,0,0
23:11:35,107,0,0
23:11:35,108,0,0
23:11:35,109,0,0
23:11:35,110,0,0
23:11:35,111,0,0
23:11:35,112,0,0
23:11:35,113,0,0
23:11:35,114,0,0
23:11:35,115,0,0
23:11:35,116,0,0
23:11:35,117,0,0
23:11:35,118,0,0
23:11:35,119,0,0
23:11:35,120,0,0
23:11:35,121,0,0
23:11:35,122,0,0
23:11:35,123,0,0
23:11:35,124,0,0
23:11:35,125,0,0
23:11:35,126,0,0
23:11:35,127,0,0
23:11:35,128,0,0
23:11:35,129,0,0
23:11:35,130,0,0
23:11:35,131,0,0
23:11:35,132,0,0
23:11:35,133,0,0
23:11:35,134,0,0
23:11:35,135,0,0
23:11:35,136,0,0
23:11:35,137,0,0
23:11:35,138,0,0
23:11:35,139,0,0
23:11:35,140,0,0
23:11:35,141,0,0
23:11:35,142,0,0
23:11:35,143,0,0
23:11:35,144,0,0
23:11:35,145,0,0
23:11:35,146,0,0
23:11:35,147,0,0
23:11:35,148,0,0
23:11:35,149,0,0
23:11:35,150,0,0
23:11:35,151,0,0
23:11:35,152,0,0
23:11:35,153,0,0
23:11:35,154,0,0
23:11:35,155,0,0
23:11:35,156,0,0
23:11:35,157,0,0
23:11:35,158,0,0
23:11:35,159,0,0
23:11:35,160,0,0
23:11:35,161,0,0
23:11:35,162,0,0
23:11:35,163,0,0
23:11:35,164,0,0
23:11:35,165,0,0
23:11:35,166,0,0
23:11:35,167,0,0
23:11:35,168,0,0
23:11:35,169,0,0
23:11:35,171,0,0
23:11:35,173,0,0
23:11:35,175,0,0
23:11:35,177,0,0
23:11:35,179,0,0
23:11:35,181,0,0
23:11:35,183,0,0
23:11:35,185,0,0
