time,CWND,speed,forecast
22:30:13,702,0,0
22:30:13,10,0,0
22:30:13,10,0,0
22:30:13,11,0,0
22:30:13,12,0,0
22:30:13,13,0,0
22:30:13,14,0,0
22:30:13,15,0,0
22:30:13,16,0,0
22:30:13,17,0,0
22:30:13,18,0,0
22:30:13,19,0,0
22:30:13,20,0,0
22:30:13,21,0,0
22:30:13,22,0,0
22:30:13,23,0,0
22:30:13,24,0,0
22:30:13,25,0,0
22:30:13,27,0,0
22:30:13,29,0,0
22:30:13,31,0,0
22:30:13,33,0,0
22:30:13,34,0,0
22:30:13,35,0,0
22:30:13,36,0,0
22:30:13,37,0,0
22:30:13,38,0,0
22:30:13,39,0,0
22:30:13,40,0,0
22:30:13,41,0,0
22:30:13,42,0,0
22:30:13,43,0,0
22:30:13,44,0,0
22:30:13,45,0,0
22:30:13,46,0,0
22:30:13,47,0,0
22:30:13,48,0,0
22:30:13,49,0,0
22:30:13,50,0,0
22:30:13,51,0,0
22:30:13,52,0,0
22:30:13,53,0,0
22:30:13,54,0,0
22:30:13,55,0,0
22:30:13,56,0,0
22:30:13,57,0,0
22:30:13,58,0,0
22:30:13,59,0,0
22:30:13,60,0,0
22:30:13,61,0,0
22:30:13,62,0,0
22:30:13,63,0,0
22:30:13,64,0,0
22:30:13,65,0,0
22:30:13,66,0,0
22:30:13,67,0,0
22:30:13,68,0,0
22:30:13,69,0,0
22:30:13,70,0,0
22:30:13,71,0,0
22:30:13,72,0,0
22:30:13,73,0,0
22:30:13,74,0,0
22:30:13,75,0,0
22:30:13,76,0,0
22:30:13,77,0,0
22:30:13,78,0,0
22:30:13,79,0,0
22:30:13,80,0,0
22:30:13,81,0,0
22:30:13,82,0,0
22:30:13,83,0,0
22:30:13,84,0,0
22:30:13,85,0,0
22:30:13,86,0,0
22:30:13,87,0,0
22:30:13,88,0,0
22:30:13,89,0,0
22:30:13,90,0,0
22:30:13,91,0,0
22:30:13,92,0,0
22:30:13,93,0,0
22:30:13,94,0,0
22:30:13,95,0,0
22:30:13,96,0,0
22:30:13,97,0,0
22:30:13,98,0,0
22:30:13,99,0,0
22:30:13,100,0,0
22:30:13,101,0,0
22:30:13,102,0,0
22:30:13,103,0,0
22:30:13,104,0,0
22:30:13,105,0,0
22:30:13,106,0,0
22:30:13,107,0,0
22:30:13,108,0,0
22:30:13,109,0,0
22:30:13,110,0,0
22:30:13,111,0,0
22:30:13,112,0,0
22:30:13,113,0,0
22:30:13,114,0,0
22:30:13,115,0,0
22:30:13,116,0,0
22:30:13,117,0,0
22:30:13,118,0,0
22:30:13,119,0,0
22:30:13,120,0,0
22:30:13,121,0,0
22:30:13,122,0,0
22:30:13,123,0,0
22:30:13,124,0,0
22:30:13,125,0,0
22:30:13,126,0,0
22:30:13,127,0,0
22:30:13,128,0,0
22:30:13,129,0,0
22:30:13,130,0,0
22:30:13,131,0,0
22:30:13,132,0,0
22:30:13,134,0,0
22:30:13,136,0,0
22:30:13,138,0,0
22:30:13,140,0,0
22:30:13,142,0,0
22:30:13,144,0,0
22:30:13,146,0,0
22:30:13,152,0,0
22:30:13,154,0,0
22:30:13,156,0,0
22:30:13,158,0,0
22:30:13,160,0,0
22:30:13,162,0,0
22:30:13,164,0,0
22:30:13,166,0,0
22:30:13,168,0,0
22:30:13,170,0,0
22:30:13,172,0,0
22:30:13,174,0,0
22:30:13,176,0,0
22:30:13,178,0,0
22:30:13,180,0,0
22:30:13,182,0,0
22:30:13,184,0,0
22:30:13,186,0,0
22:30:13,187,0,0
22:30:13,188,0,0
22:30:13,189,0,0
22:30:13,190,0,0
22:30:13,191,0,0
22:30:13,192,0,0
22:30:13,193,0,0
22:30:13,194,0,0
22:30:13,195,0,0
22:30:13,196,0,0
22:30:13,197,0,0
22:30:13,198,0,0
22:30:13,199,0,0
22:30:13,200,0,0
22:30:13,201,0,0
22:30:13,202,0,0
22:30:13,203,0,0
22:30:13,204,0,0
22:30:13,205,0,0
22:30:13,206,0,0
22:30:13,207,0,0
22:30:13,208,0,0
22:30:13,209,0,0
22:30:13,210,0,0
22:30:13,211,0,0
