time,CWND,speed,forecast
00:34:27,307,0,0
00:34:27,10,0,0
00:34:27,10,0,0
00:34:27,11,0,0
00:34:27,12,0,0
00:34:27,13,0,0
00:34:27,14,0,0
00:34:27,15,0,0
00:34:27,16,0,0
00:34:27,17,0,0
00:34:27,18,0,0
00:34:27,19,0,0
00:34:27,20,0,0
00:34:27,21,0,0
00:34:27,22,0,0
00:34:27,23,0,0
00:34:27,24,0,0
00:34:27,25,0,0
00:34:27,27,0,0
00:34:27,29,0,0
00:34:27,31,0,0
00:34:27,33,0,0
00:34:27,34,0,0
00:34:27,35,0,0
00:34:27,36,0,0
00:34:27,37,0,0
00:34:27,38,0,0
00:34:27,39,0,0
00:34:27,40,0,0
00:34:27,41,0,0
00:34:27,42,0,0
00:34:27,43,0,0
00:34:27,44,0,0
00:34:27,45,0,0
00:34:27,46,0,0
00:34:27,47,0,0
00:34:27,48,0,0
00:34:27,49,0,0
00:34:27,50,0,0
00:34:27,51,0,0
00:34:27,52,0,0
00:34:27,53,0,0
00:34:27,54,0,0
00:34:27,55,0,0
00:34:27,56,0,0
00:34:27,57,0,0
00:34:27,58,0,0
00:34:27,59,0,0
00:34:27,60,0,0
00:34:27,61,0,0
00:34:27,62,0,0
00:34:27,63,0,0
00:34:27,64,0,0
00:34:27,65,0,0
00:34:27,66,0,0
00:34:27,67,0,0
00:34:27,68,0,0
00:34:27,69,0,0
00:34:27,70,0,0
00:34:27,71,0,0
00:34:27,72,0,0
00:34:27,73,0,0
00:34:27,74,0,0
00:34:27,75,0,0
00:34:27,76,0,0
00:34:27,77,0,0
00:34:27,78,0,0
00:34:27,79,0,0
00:34:27,80,0,0
00:34:27,81,0,0
00:34:27,82,0,0
00:34:27,83,0,0
00:34:27,84,0,0
00:34:27,85,0,0
00:34:27,86,0,0
00:34:27,87,0,0
00:34:27,88,0,0
00:34:27,89,0,0
00:34:27,90,0,0
00:34:27,91,0,0
00:34:27,92,0,0
00:34:27,93,0,0
00:34:27,94,0,0
00:34:27,95,0,0
00:34:27,96,0,0
00:34:27,97,0,0
00:34:27,98,0,0
00:34:27,99,0,0
00:34:27,100,0,0
00:34:27,101,0,0
00:34:27,102,0,0
00:34:27,103,0,0
00:34:27,104,0,0
00:34:27,105,0,0
00:34:27,106,0,0
00:34:27,107,0,0
00:34:27,108,0,0
00:34:27,109,0,0
00:34:27,110,0,0
00:34:27,111,0,0
00:34:27,112,0,0
00:34:27,113,0,0
00:34:27,114,0,0
00:34:27,115,0,0
00:34:27,116,0,0
00:34:27,117,0,0
00:34:27,118,0,0
00:34:27,119,0,0
00:34:27,120,0,0
00:34:27,121,0,0
00:34:27,122,0,0
00:34:27,123,0,0
00:34:27,124,0,0
00:34:27,125,0,0
00:34:27,127,0,0
00:34:27,129,0,0
00:34:27,131,0,0
00:34:27,133,0,0
00:34:27,135,0,0
00:34:27,137,0,0
00:34:27,139,0,0
00:34:27,141,0,0
00:34:27,143,0,0
00:34:27,145,0,0
00:34:27,147,0,0
00:34:27,149,0,0
00:34:27,151,0,0
00:34:27,153,0,0
00:34:27,155,0,0
00:34:27,157,0,0
00:34:27,159,0,0
00:34:27,161,0,0
00:34:27,163,0,0
00:34:27,165,0,0
00:34:27,167,0,0
00:34:27,169,0,0
00:34:27,171,0,0
00:34:27,173,0,0
00:34:27,175,0,0
00:34:27,177,0,0
00:34:27,178,0,0
00:34:27,179,0,0
00:34:27,180,0,0
00:34:27,181,0,0
00:34:27,182,0,0
00:34:27,183,0,0
00:34:27,184,0,0
00:34:27,185,0,0
00:34:27,186,0,0
00:34:27,187,0,0
00:34:27,188,0,0
00:34:27,189,0,0
00:34:27,190,0,0
00:34:27,191,0,0
00:34:27,192,0,0
00:34:27,193,0,0
00:34:27,194,0,0
00:34:27,195,0,0
00:34:27,196,0,0
00:34:27,197,0,0
00:34:27,198,0,0
00:34:27,199,0,0
00:34:27,200,0,0
00:34:27,201,0,0
00:34:27,202,0,0
00:34:27,203,0,0
00:34:27,204,0,0
00:34:27,205,0,0
00:34:27,206,0,0
00:34:27,207,0,0
00:34:27,208,0,0
00:34:27,209,0,0
00:34:27,210,0,0
00:34:27,211,0,0
00:34:27,212,0,0
00:34:27,213,0,0
00:34:27,214,0,0
00:34:27,215,0,0
00:34:27,216,0,0
00:34:27,217,0,0
00:34:27,218,0,0
00:34:27,219,0,0
00:34:27,220,0,0
00:34:27,221,0,0
00:34:27,222,0,0
00:34:27,223,0,0
00:34:27,224,0,0
00:34:27,225,0,0
00:34:27,226,0,0
00:34:27,227,0,0
00:34:27,228,0,0
00:34:27,229,0,0
00:34:27,230,0,0
00:34:27,231,0,0
00:34:27,232,0,0
00:34:27,233,0,0
00:34:27,234,0,0
00:34:27,235,0,0
00:34:27,236,0,0
00:34:27,237,0,0
00:34:27,238,0,0
00:34:27,239,0,0
00:34:27,240,0,0
00:34:27,241,0,0
00:34:27,242,0,0
00:34:27,243,0,0
00:34:27,244,0,0
00:34:27,245,0,0
00:34:27,246,0,0
00:34:27,247,0,0
00:34:27,248,0,0
00:34:27,249,0,0
00:34:27,250,0,0
00:34:27,251,0,0
00:34:27,252,0,0
00:34:27,253,0,0
00:34:27,254,0,0
00:34:27,255,0,0
00:34:27,256,0,0
00:34:27,257,0,0
00:34:27,258,0,0
00:34:27,259,0,0
00:34:27,260,0,0
00:34:27,261,0,0
00:34:27,262,0,0
00:34:27,263,0,0
00:34:27,264,0,0
00:34:27,265,0,0
00:34:27,266,0,0
00:34:27,267,0,0
00:34:27,268,0,0
00:34:27,269,0,0
00:34:27,270,0,0
00:34:27,271,0,0
00:34:27,272,0,0
00:34:27,273,0,0
00:34:27,274,0,0
00:34:27,275,0,0
00:34:27,276,0,0
00:34:27,277,0,0
00:34:27,278,0,0
00:34:27,279,0,0
00:34:27,280,0,0
00:34:27,281,0,0
00:34:27,282,0,0
00:34:27,283,0,0
00:34:27,284,0,0
00:34:27,285,0,0
00:34:27,286,0,0
00:34:27,287,0,0
00:34:27,288,0,0
00:34:27,289,0,0
00:34:27,290,0,0
00:34:27,291,0,0
00:34:27,292,0,0
00:34:27,293,0,0
00:34:27,294,0,0
00:34:27,295,0,0
00:34:27,296,0,0
00:34:27,297,0,0
00:34:27,298,0,0
00:34:27,299,0,0
00:34:27,300,0,0
00:34:27,301,0,0
00:34:27,302,0,0
00:34:27,303,0,0
00:34:27,304,0,0
00:34:27,305,0,0
00:34:27,306,0,0
00:34:27,307,0,0
00:34:27,308,0,0
00:34:27,309,0,0
00:34:27,310,0,0
00:34:27,312,0,0
00:34:27,314,0,0
00:34:27,316,0,0
00:34:27,318,0,0
00:34:27,319,0,0
00:34:27,320,0,0
00:34:27,321,0,0
00:34:27,322,0,0
00:34:27,323,0,0
00:34:27,324,0,0
00:34:27,325,0,0
00:34:27,326,0,0
00:34:27,327,0,0
00:34:27,328,0,0
00:34:27,329,0,0
00:34:27,330,0,0
00:34:27,331,0,0
00:34:27,332,0,0
00:34:27,333,0,0
00:34:27,334,0,0
00:34:27,335,0,0
00:34:27,336,0,0
00:34:27,337,0,0
00:34:27,338,0,0
00:34:27,339,0,0
00:34:27,340,0,0
00:34:27,341,0,0
00:34:27,342,0,0
00:34:27,343,0,0
00:34:27,344,0,0
00:34:27,345,0,0
00:34:27,346,0,0
00:34:27,347,0,0
00:34:27,348,0,0
00:34:27,349,0,0
00:34:27,350,0,0
00:34:27,351,0,0
00:34:27,352,0,0
00:34:27,353,0,0
00:34:27,354,0,0
00:34:27,355,0,0
00:34:27,356,0,0
00:34:27,357,0,0
00:34:27,358,0,0
00:34:27,359,0,0
00:34:27,360,0,0
00:34:27,361,0,0
00:34:27,362,0,0
00:34:27,363,0,0
00:34:27,364,0,0
00:34:27,365,0,0
00:34:27,366,0,0
00:34:27,367,0,0
00:34:27,368,0,0
00:34:27,369,0,0
00:34:27,370,0,0
00:34:27,371,0,0
00:34:27,372,0,0
00:34:27,373,0,0
00:34:27,374,0,0
00:34:27,375,0,0
00:34:27,376,0,0
00:34:27,377,0,0
00:34:27,378,0,0
00:34:27,379,0,0
00:34:27,380,0,0
00:34:27,381,0,0
00:34:27,382,0,0
00:34:27,383,0,0
00:34:27,384,0,0
00:34:27,385,0,0
00:34:27,386,0,0
00:34:27,387,0,0
00:34:27,388,0,0
00:34:27,389,0,0
00:34:27,390,0,0
00:34:27,391,0,0
00:34:27,392,0,0
00:34:27,393,0,0
00:34:27,394,0,0
00:34:27,395,0,0
00:34:27,396,0,0
00:34:27,397,0,0
00:34:27,398,0,0
00:34:27,399,0,0
00:34:27,400,0,0
00:34:27,401,0,0
00:34:27,402,0,0
00:34:27,403,0,0
00:34:27,404,0,0
00:34:27,405,0,0
00:34:27,406,0,0
00:34:27,407,0,0
00:34:27,408,0,0
00:34:27,409,0,0
00:34:27,410,0,0
00:34:27,411,0,0
00:34:27,412,0,0
00:34:27,413,0,0
00:34:27,414,0,0
00:34:27,415,0,0
00:34:27,416,0,0
00:34:27,417,0,0
00:34:27,418,0,0
00:34:27,419,0,0
00:34:27,420,0,0
00:34:27,421,0,0
00:34:27,422,0,0
00:34:27,423,0,0
00:34:27,424,0,0
00:34:27,425,0,0
00:34:27,426,0,0
00:34:27,427,0,0
00:34:27,428,0,0
00:34:27,429,0,0
00:34:27,430,0,0
00:34:27,431,0,0
00:34:27,432,0,0
00:34:27,433,0,0
00:34:27,434,0,0
00:34:27,435,0,0
00:34:27,436,0,0
00:34:27,437,0,0
00:34:27,438,0,0
00:34:27,439,0,0
00:34:27,440,0,0
00:34:27,441,0,0
00:34:27,442,0,0
00:34:27,443,0,0
00:34:27,444,0,0
00:34:27,445,0,0
00:34:27,446,0,0
00:34:27,447,0,0
00:34:27,448,0,0
00:34:27,449,0,0
00:34:27,450,0,0
00:34:27,451,0,0
00:34:27,452,0,0
00:34:27,453,0,0
00:34:27,454,0,0
00:34:27,455,0,0
00:34:27,456,0,0
00:34:27,457,0,0
00:34:27,458,0,0
00:34:27,459,0,0
00:34:27,460,0,0
00:34:27,461,0,0
00:34:27,462,0,0
00:34:27,463,0,0
00:34:27,464,0,0
00:34:27,465,0,0
00:34:27,466,0,0
00:34:27,467,0,0
00:34:27,468,0,0
00:34:27,469,0,0
00:34:27,470,0,0
00:34:27,471,0,0
00:34:27,472,0,0
00:34:27,473,0,0
00:34:27,474,0,0
00:34:27,475,0,0
00:34:27,476,0,0
00:34:27,477,0,0
00:34:27,478,0,0
00:34:27,480,0,0
00:34:27,482,0,0
00:34:27,484,0,0
00:34:27,486,0,0
00:34:27,488,0,0
00:34:27,490,0,0
00:34:27,492,0,0
00:34:27,494,0,0
00:34:27,496,0,0
00:34:27,498,0,0
00:34:27,500,0,0
00:34:27,502,0,0
00:34:27,504,0,0
00:34:27,506,0,0
00:34:27,508,0,0
00:34:27,510,0,0
00:34:27,512,0,0
00:34:27,514,0,0
00:34:27,516,0,0
00:34:27,518,0,0
00:34:27,520,0,0
00:34:27,522,0,0
00:34:27,524,0,0
00:34:27,526,0,0
00:34:27,528,0,0
00:34:27,530,0,0
00:34:27,532,0,0
00:34:27,534,0,0
00:34:27,536,0,0
00:34:27,538,0,0
00:34:27,540,0,0
00:34:27,542,0,0
00:34:27,544,0,0
00:34:27,546,0,0
00:34:27,548,0,0
00:34:27,550,0,0
00:34:27,552,0,0
00:34:27,554,0,0
00:34:27,556,0,0
00:34:27,558,0,0
00:34:27,560,0,0
00:34:27,562,0,0
00:34:27,564,0,0
00:34:27,566,0,0
00:34:27,568,0,0
