time,CWND,speed,forecast
01:49:58,337,0,0
01:49:58,337,0,0
01:49:58,337,0,0
01:49:58,337,0,0
01:49:58,337,0,0
01:49:58,337,0,0
01:49:58,337,0,0
01:49:58,337,0,0
01:49:58,337,0,0
01:49:58,337,0,0
01:49:58,337,0,0
01:49:58,337,0,0
01:49:58,337,0,0
01:49:58,337,0,0
01:49:58,337,0,0
01:49:58,337,0,0
01:49:58,337,0,0
01:49:58,337,0,0
01:49:58,337,0,0
01:49:58,337,0,0
01:49:58,337,0,0
01:49:58,337,0,0
01:49:58,337,0,0
01:49:58,337,0,0
01:49:58,337,0,0
01:49:58,337,0,0
01:49:58,337,0,0
01:49:58,337,0,0
01:49:58,337,0,0
01:49:58,337,0,0
01:49:58,337,0,0
01:49:58,337,0,0
01:49:58,337,0,0
01:49:58,337,0,0
01:49:58,337,0,0
01:49:58,337,0,0
01:49:58,337,0,0
01:49:58,337,0,0
01:49:58,337,0,0
01:49:58,337,0,0
01:49:58,337,0,0
01:49:58,337,0,0
01:49:58,337,0,0
01:49:58,337,0,0
01:49:58,337,0,0
01:49:58,337,0,0
01:49:58,338,0,0
01:49:58,338,0,0
01:49:58,338,0,0
01:49:58,338,0,0
01:49:58,338,0,0
01:49:58,338,0,0
01:49:58,338,0,0
01:49:58,338,0,0
01:49:58,338,0,0
01:49:58,338,0,0
01:49:58,338,0,0
01:49:58,338,0,0
01:49:58,338,0,0
01:49:58,338,0,0
01:49:58,338,0,0
01:49:58,338,0,0
01:49:58,338,0,0
01:49:58,338,0,0
01:49:58,338,0,0
01:49:58,338,0,0
01:49:58,338,0,0
01:49:58,338,0,0
01:49:58,338,0,0
01:49:58,338,0,0
01:49:58,338,0,0
01:49:58,338,0,0
01:49:58,338,0,0
01:49:58,338,0,0
01:49:58,338,0,0
01:49:58,338,0,0
01:49:58,338,0,0
01:49:58,338,0,0
01:49:58,338,0,0
01:49:58,338,0,0
01:49:58,338,0,0
01:49:58,338,0,0
01:49:58,338,0,0
01:49:58,338,0,0
01:49:58,338,0,0
01:49:58,338,0,0
01:49:58,338,0,0
01:49:58,338,0,0
01:49:58,338,0,0
01:49:58,338,0,0
01:49:58,338,0,0
01:49:58,338,0,0
01:49:58,338,0,0
01:49:58,338,0,0
01:49:58,338,0,0
01:49:58,338,0,0
01:49:58,338,0,0
01:49:58,338,0,0
01:49:58,338,0,0
01:49:58,338,0,0
01:49:58,338,0,0
01:49:58,338,0,0
01:49:58,338,0,0
01:49:58,338,0,0
01:49:58,338,0,0
01:49:58,338,0,0
01:49:58,338,0,0
01:49:58,338,0,0
01:49:58,338,0,0
01:49:58,338,0,0
01:49:58,338,0,0
01:49:58,338,0,0
01:49:58,338,0,0
01:49:59,338,0,0
01:49:59,10,0,0
01:49:59,10,0,0
01:49:59,11,0,0
01:49:59,12,0,0
01:49:59,13,0,0
01:49:59,14,0,0
01:49:59,15,0,0
01:49:59,16,0,0
01:49:59,17,0,0
01:49:59,18,0,0
01:49:59,19,0,0
01:49:59,20,0,0
01:49:59,21,0,0
01:49:59,22,0,0
01:49:59,23,0,0
01:49:59,24,0,0
01:49:59,25,0,0
01:49:59,27,0,0
01:49:59,29,0,0
01:49:59,31,0,0
01:49:59,33,0,0
01:49:59,34,0,0
01:49:59,35,0,0
01:49:59,36,0,0
01:49:59,37,0,0
01:49:59,38,0,0
01:49:59,39,0,0
01:49:59,40,0,0
01:49:59,41,0,0
01:49:59,42,0,0
01:49:59,43,0,0
01:49:59,44,0,0
01:49:59,45,0,0
01:49:59,46,0,0
01:49:59,47,0,0
01:49:59,48,0,0
01:49:59,49,0,0
01:49:59,50,0,0
01:49:59,51,0,0
01:49:59,52,0,0
01:49:59,53,0,0
01:49:59,54,0,0
01:49:59,55,0,0
01:49:59,56,0,0
01:49:59,57,0,0
01:49:59,58,0,0
01:49:59,59,0,0
01:49:59,60,0,0
01:49:59,61,0,0
01:49:59,62,0,0
01:49:59,63,0,0
01:49:59,64,0,0
01:49:59,65,0,0
01:49:59,66,0,0
01:49:59,67,0,0
01:49:59,68,0,0
01:49:59,69,0,0
01:49:59,70,0,0
01:49:59,71,0,0
01:49:59,72,0,0
01:49:59,73,0,0
01:49:59,74,0,0
01:49:59,75,0,0
01:49:59,76,0,0
01:49:59,77,0,0
01:49:59,78,0,0
01:49:59,79,0,0
01:49:59,80,0,0
01:49:59,81,0,0
01:49:59,82,0,0
01:49:59,83,0,0
01:49:59,84,0,0
01:49:59,85,0,0
01:49:59,86,0,0
01:49:59,87,0,0
01:49:59,88,0,0
01:49:59,89,0,0
01:49:59,90,0,0
01:49:59,91,0,0
01:49:59,92,0,0
01:49:59,93,0,0
01:49:59,94,0,0
01:49:59,95,0,0
01:49:59,96,0,0
01:49:59,97,0,0
01:49:59,98,0,0
01:49:59,99,0,0
01:49:59,100,0,0
01:49:59,101,0,0
01:49:59,102,0,0
01:49:59,103,0,0
01:49:59,104,0,0
01:49:59,105,0,0
01:49:59,106,0,0
01:49:59,107,0,0
01:49:59,108,0,0
01:49:59,109,0,0
01:49:59,110,0,0
01:49:59,111,0,0
01:49:59,112,0,0
01:49:59,113,0,0
01:49:59,114,0,0
01:49:59,115,0,0
01:49:59,116,0,0
01:49:59,117,0,0
01:49:59,118,0,0
01:49:59,119,0,0
01:49:59,120,0,0
01:49:59,121,0,0
01:49:59,122,0,0
01:49:59,123,0,0
01:49:59,124,0,0
01:49:59,125,0,0
01:49:59,126,0,0
01:49:59,127,0,0
01:49:59,128,0,0
01:49:59,129,0,0
01:49:59,130,0,0
01:49:59,131,0,0
01:49:59,132,0,0
01:49:59,133,0,0
01:49:59,134,0,0
01:49:59,135,0,0
01:49:59,136,0,0
01:49:59,137,0,0
01:49:59,138,0,0
01:49:59,139,0,0
01:49:59,140,0,0
01:49:59,141,0,0
01:49:59,142,0,0
01:49:59,143,0,0
01:49:59,144,0,0
01:49:59,145,0,0
01:49:59,146,0,0
01:49:59,148,0,0
01:49:59,150,0,0
01:49:59,152,0,0
01:49:59,154,0,0
01:49:59,156,0,0
01:49:59,158,0,0
01:49:59,160,0,0
01:49:59,162,0,0
01:49:59,164,0,0
01:49:59,166,0,0
01:49:59,168,0,0
01:49:59,170,0,0
01:49:59,172,0,0
01:49:59,174,0,0
01:49:59,176,0,0
01:49:59,178,0,0
01:49:59,180,0,0
01:49:59,182,0,0
01:49:59,183,0,0
01:49:59,184,0,0
01:49:59,185,0,0
01:49:59,186,0,0
01:49:59,187,0,0
01:49:59,188,0,0
01:49:59,189,0,0
01:49:59,190,0,0
01:49:59,191,0,0
01:49:59,192,0,0
01:49:59,193,0,0
01:49:59,194,0,0
01:49:59,195,0,0
01:49:59,196,0,0
01:49:59,197,0,0
01:49:59,198,0,0
01:49:59,199,0,0
01:49:59,200,0,0
01:49:59,201,0,0
01:49:59,202,0,0
01:49:59,203,0,0
01:49:59,204,0,0
01:49:59,205,0,0
01:49:59,206,0,0
01:49:59,207,0,0
01:49:59,208,0,0
01:49:59,209,0,0
01:49:59,210,0,0
01:49:59,211,0,0
01:49:59,212,0,0
01:49:59,213,0,0
01:49:59,214,0,0
01:49:59,215,0,0
01:49:59,216,0,0
01:49:59,217,0,0
01:49:59,218,0,0
01:49:59,219,0,0
01:49:59,220,0,0
01:49:59,221,0,0
01:49:59,222,0,0
01:49:59,223,0,0
01:49:59,224,0,0
01:49:59,225,0,0
01:49:59,226,0,0
01:49:59,227,0,0
01:49:59,228,0,0
01:49:59,229,0,0
01:49:59,230,0,0
01:49:59,231,0,0
01:49:59,232,0,0
01:49:59,233,0,0
01:49:59,234,0,0
01:49:59,235,0,0
01:49:59,236,0,0
01:49:59,237,0,0
01:49:59,238,0,0
01:49:59,239,0,0
01:49:59,240,0,0
01:49:59,241,0,0
01:49:59,242,0,0
01:49:59,243,0,0
01:49:59,244,0,0
01:49:59,245,0,0
01:49:59,246,0,0
01:49:59,247,0,0
01:49:59,248,0,0
01:49:59,249,0,0
01:49:59,250,0,0
01:49:59,251,0,0
01:49:59,252,0,0
01:49:59,253,0,0
01:49:59,254,0,0
01:49:59,255,0,0
01:49:59,256,0,0
01:49:59,257,0,0
01:49:59,258,0,0
01:49:59,259,0,0
01:49:59,260,0,0
01:49:59,261,0,0
01:49:59,262,0,0
01:49:59,263,0,0
01:49:59,264,0,0
01:49:59,265,0,0
01:49:59,266,0,0
01:49:59,267,0,0
01:49:59,268,0,0
01:49:59,269,0,0
01:49:59,270,0,0
01:49:59,271,0,0
01:49:59,272,0,0
01:49:59,273,0,0
01:49:59,274,0,0
01:49:59,275,0,0
01:49:59,276,0,0
01:49:59,277,0,0
01:49:59,278,0,0
01:49:59,279,0,0
01:49:59,280,0,0
01:49:59,281,0,0
01:49:59,282,0,0
01:49:59,283,0,0
01:49:59,284,0,0
01:49:59,285,0,0
01:49:59,286,0,0
01:49:59,287,0,0
01:49:59,289,0,0
01:49:59,291,0,0
01:49:59,293,0,0
01:49:59,295,0,0
01:49:59,297,0,0
01:49:59,299,0,0
01:49:59,301,0,0
01:49:59,303,0,0
01:49:59,305,0,0
01:49:59,307,0,0
01:49:59,309,0,0
01:49:59,311,0,0
01:49:59,313,0,0
01:49:59,315,0,0
01:49:59,317,0,0
01:49:59,319,0,0
01:49:59,321,0,0
01:49:59,323,0,0
01:49:59,325,0,0
01:49:59,327,0,0
01:49:59,329,0,0
01:49:59,331,0,0
01:49:59,333,0,0
01:49:59,335,0,0
01:49:59,336,0,0
01:49:59,337,0,0
01:49:59,338,0,0
01:49:59,339,0,0
01:49:59,340,0,0
01:49:59,341,0,0
01:49:59,342,0,0
01:49:59,343,0,0
01:49:59,344,0,0
01:49:59,345,0,0
01:49:59,346,0,0
01:49:59,347,0,0
01:49:59,348,0,0
01:49:59,349,0,0
01:49:59,350,0,0
01:49:59,351,0,0
01:49:59,352,0,0
01:49:59,353,0,0
01:49:59,354,0,0
01:49:59,355,0,0
01:49:59,356,0,0
01:49:59,357,0,0
01:49:59,358,0,0
01:49:59,359,0,0
01:49:59,360,0,0
01:49:59,361,0,0
01:49:59,362,0,0
01:49:59,363,0,0
01:49:59,364,0,0
01:49:59,365,0,0
01:49:59,366,0,0
01:49:59,367,0,0
01:49:59,368,0,0
01:49:59,369,0,0
01:49:59,370,0,0
01:49:59,371,0,0
01:49:59,372,0,0
01:49:59,373,0,0
01:49:59,374,0,0
01:49:59,375,0,0
01:49:59,376,0,0
01:49:59,377,0,0
01:49:59,378,0,0
01:49:59,379,0,0
01:49:59,380,0,0
01:49:59,381,0,0
01:49:59,382,0,0
01:49:59,383,0,0
01:49:59,384,0,0
01:49:59,385,0,0
01:49:59,386,0,0
01:49:59,387,0,0
01:49:59,388,0,0
01:49:59,389,0,0
01:49:59,390,0,0
01:49:59,391,0,0
01:49:59,392,0,0
01:49:59,393,0,0
01:49:59,394,0,0
01:49:59,395,0,0
01:49:59,396,0,0
01:49:59,397,0,0
01:49:59,398,0,0
01:49:59,399,0,0
01:49:59,400,0,0
01:49:59,401,0,0
01:49:59,402,0,0
01:49:59,403,0,0
01:49:59,404,0,0
01:49:59,405,0,0
01:49:59,406,0,0
01:49:59,407,0,0
01:49:59,408,0,0
01:49:59,409,0,0
01:49:59,410,0,0
01:49:59,411,0,0
01:49:59,412,0,0
01:49:59,413,0,0
01:49:59,414,0,0
01:49:59,415,0,0
01:49:59,416,0,0
01:49:59,417,0,0
01:49:59,418,0,0
01:49:59,419,0,0
01:49:59,420,0,0
01:49:59,421,0,0
01:49:59,422,0,0
01:49:59,423,0,0
01:49:59,424,0,0
01:49:59,425,0,0
01:49:59,426,0,0
01:49:59,427,0,0
01:49:59,428,0,0
01:49:59,429,0,0
01:49:59,430,0,0
